,Artist,Name,date,price,comments,repeat_sale
952,Natalia Sergeevna Goncharova,Picking apples,06.18.2007 ,"9,780,712 ", ,0
953,Claude Monet,Le pont de bois,06.19.2013 ,"9,780,125 ", ,0
954,Willem de Kooning,Untitled XVII,05.15.2013 ,"9,755,750 ", ,1
955,Edgar Degas,Danseuse rajustant sa sandale,02.05.2008 ,"9,754,978 ", ,1
956,Wu Guanzhong,Shrubalthea,06.03.2011 ,"9,754,028 ", ,0
957,Pablo Picasso,Nu couché,11.05.2003 ,"9,752,000 ", ,0
958,Giovanni da Rimini,Episodes from the lives of the Virgin and other saints,07.09.2014 ,"9,732,986 ", ,0
959,Paul Signac,"La Corne d′Or, les minarets",06.20.2012 ,"9,732,242 ", ,0
960,Pablo Picasso,Homme assis,06.19.2012 ,"9,726,661 ", ,0
961,Canaletto,"Venice, the entrance to the Grand Canal, with the Church of Santa Maria Della Salute seen from the Piazzetta; Venice, a view of the Church of SS. Giovanni E Paolo and the Scuola di San Marco, with the monument to Bartolommeo Colleoni",12.05.2007 ,"9,716,879 ", ,0
962,Pablo Picasso,Homme assis sur une chaise,02.02.2010 ,"9,703,829 ", ,0
963,Sir Stanley Spencer,Christ Preaching at Cookham Regatta: Conversation Between Punts,11.20.2013 ,"9,693,998 ", ,0
964,Pablo Picasso,Buste d′homme,05.07.2013 ,"9,685,000 ", ,0
965,Paul Gauguin,Petit Breton à l′oie,11.06.2013 ,"9,685,000 ", ,1
966,Claude Monet,La jetee du havre,05.12.1993 ,"9,682,500 ", ,0
967,Alexander Calder,Rouge triomphant,06.27.2012 ,"9,676,430 ",Triumphant Red ,0
968,Edward Hicks,The Peaceable Kingdom with the Leopard of Serenity,05.22.2008 ,"9,673,000 ", ,0
969,Zeng Fanzhi,Mask Series 1996 No. 6,05.24.2008 ,"9,662,114 ", ,0
970,Robert Ryman,Untitled,05.10.2006 ,"9,648,000 ", ,0
971,Willem de Kooning,Woman,11.15.2006 ,"9,648,000 ",Seated Woman I ,0
972,Alberto Giacometti,Grande femme debout IV,11.05.2003 ,"9,640,000 ", ,0
973,Piet Mondrian,Façade in tan and grey,11.15.1989 ,"9,625,000 ", ,0
974,Brice Marden,Cold mountain I,05.12.2010 ,"9,602,500 ",Path ,0
975,Mark Rothko,No. 18,11.10.2010 ,"9,602,500 ",Brown and black on plum ,0
976,Pablo Picasso,Couple à la guitare,05.03.2011 ,"9,602,500 ", ,0
977,Francis Bacon,Untitled,05.11.2011 ,"9,602,500 ",Crouching nude on rail ,0
978,Claude Monet,Les demoiselles de Giverny,05.01.2012 ,"9,602,500 ", ,0
